id,centroide_x,centroide_y,area_px2,perimetro_px,diametro_equivalente_px,circularidade,excentricidade
1,334.6,43.5,2463,183.9,56.0,0.915,0.313
2,155.2,50.8,1536,145.3,44.2,0.914,0.233
3,215.1,51.0,1511,146.1,43.9,0.889,0.365
4,277.8,60.0,303,82.9,19.6,0.554,0.771
5,100.3,56.2,1013,116.7,35.9,0.935,0.423
6,42.2,54.8,1131,148.4,37.9,0.646,0.291
7,270.7,118.8,1813,162.7,48.0,0.861,0.306
8,44.8,124.3,1212,131.6,39.3,0.879,0.344
9,205.3,123.8,1136,125.1,38.0,0.913,0.364
10,336.1,124.4,1110,120.8,37.6,0.956,0.201
11,102.3,125.5,1045,119.7,36.5,0.916,0.33
12,153.5,127.3,1013,118.0,35.9,0.914,0.462
13,346.9,186.7,3021,204.2,62.0,0.911,0.209
14,212.4,193.1,1639,153.0,45.7,0.88,0.198
15,274.0,193.6,1426,147.5,42.6,0.823,0.495
16,101.7,195.6,1379,135.4,41.9,0.945,0.272
17,43.7,197.3,1055,121.2,36.7,0.903,0.33
18,154.0,197.7,1076,120.3,37.0,0.934,0.246
19,45.9,259.9,2347,180.3,54.7,0.908,0.258
20,172.3,261.2,2232,176.4,53.3,0.902,0.426
21,300.5,263.3,1916,164.4,49.4,0.891,0.428
22,243.9,263.2,1688,153.4,46.4,0.901,0.28
23,113.7,265.5,1350,134.7,41.5,0.935,0.195
24,358.0,267.8,1410,141.1,42.4,0.891,0.406
