iteracao,temperatura_media_C
0,20.5747
25,21.3961
50,21.865
75,22.2609
100,22.6179
125,22.9496
150,23.2631
175,23.5624
200,23.8505
225,24.1293
250,24.4001
275,24.6642
300,24.9223
325,25.1751
350,25.4233
375,25.6673
400,25.9074
425,26.1441
450,26.3775
475,26.6081
500,26.8359
525,27.0612
550,27.2841
575,27.5049
600,27.7235
625,27.9403
650,28.1552
675,28.3684
700,28.5799
725,28.7899
750,28.9984
775,29.2055
800,29.4112
825,29.6157
850,29.8189
875,30.0209
900,30.2218
925,30.4216
950,30.6204
975,30.8181
1000,31.0148
1025,31.2106
1050,31.4055
1075,31.5995
1100,31.7926
1125,31.9849
1150,32.1764
1175,32.3671
1200,32.557
1225,32.7461
1250,32.9346
1275,33.1223
1300,33.3093
1325,33.4957
1350,33.6814
1375,33.8664
1400,34.0508
1425,34.2346
1450,34.4178
1475,34.6004
1500,34.7824
1525,34.9639
1550,35.1448
1575,35.3251
1600,35.5049
1625,35.6841
1650,35.8629
1675,36.0411
1700,36.2188
1725,36.396
1750,36.5728
1775,36.749
1800,36.9248
1825,37.1001
1850,37.2749
1875,37.4493
1900,37.6233
1925,37.7968
1950,37.9698
1975,38.1424
2000,38.3146
2025,38.4864
2050,38.6577
2075,38.8287
2100,38.9992
2125,39.1693
2150,39.3391
2175,39.5084
2200,39.6773
2225,39.8459
2250,40.014
2275,40.1818
2300,40.3492
2325,40.5162
2350,40.6829
2375,40.8492
2400,41.0151
2425,41.1807
2450,41.3459
2475,41.5107
2500,41.6752
2525,41.8394
2550,42.0032
2575,42.1666
2600,42.3297
2625,42.4925
2650,42.6549
2675,42.817
2700,42.9788
2725,43.1402
2750,43.3013
2775,43.4621
2800,43.6226
2825,43.7827
2850,43.9425
2875,44.102
2900,44.2612
2925,44.42
2950,44.5786
2975,44.7368
3000,44.8947
3025,45.0523
3050,45.2096
3075,45.3666
3100,45.5233
3125,45.6797
3150,45.8358
3175,45.9916
3200,46.1471
3225,46.3023
3250,46.4572
3275,46.6119
3300,46.7662
3325,46.9202
3350,47.074
3375,47.2274
3400,47.3806
3425,47.5335
3450,47.6861
3475,47.8384
3500,47.9904
3525,48.1422
3550,48.2937
3575,48.4449
3600,48.5958
3625,48.7465
3650,48.8968
3675,49.0469
3700,49.1968
3725,49.3463
3750,49.4956
3775,49.6446
3800,49.7934
3825,49.9419
3850,50.0901
3875,50.238
3900,50.3857
3925,50.5331
3950,50.6803
3975,50.8272
4000,50.9738
